Short Title:,Full Title:,Author,Author Org,Full Abstract Text:,Status:,Classification:,Presenter Type:,Track,Session Category:,Presentation Req:,Seheduling Req:,Objectives:,Comments:,Bio,Topic1:
Environmentally Safe Lubricants,"Innovations in Biodegradable, Environmentally Safe Lubricants","Miller, Mark",Terresolve Technologies,"There is increasing pressure from government, industry and the public to protect the environment. Many underwater projects require the use of environmentally preferable, biodegradable products to bid for contracts. While initially more expensive, these fluids can save money and time when properly utilized. They can improve equipment performance, while protecting the user from costly fines and clean up in the event of a leak or spill.

Environmentally safe lubricants will be presented from a 'hands-on' perspective. The paper will review spills and response regulations. It will also cover major organizational and commercial initiatives that are the major driving forces behind their use.

The paper will explore the types of biodegradable products and how they interact with underwater equipment. Included will be their compatibility with hydraulics, pumps, sealing materials, hoses, and other important components. Water infiltration, high pressure, wide temperature range usage as well as ways to manage these challenges will also be discussed.

There will be a discussion of specific maintenance practices that are required to maintain long useful life of these fluids as well as long equipment life. This will include real world experience gained by several successful long term field demonstrations with commercial and military divers and ROVs. Data that will be used covers oil analysis, equipment inspections, operating conditions, and overall cost savings.",Accptd pnding mat'l,Invited,MTS Member,Engineering Topics Not Covered by Other Tracks,Presentation,None,None,To inform attendees about the types and benefits of environmentally safe lubricants and to explores costs and savings associated with their use.,,"Mark Miller is the CEO of Terresolve Technologies, a Cleveland-based company that provides non-toxic, biodegradable lubricating products. Mr. Miller has a B.S. in Chemical Engineering from Tufts University and an M.B.A. from Manhattan College. He has engineered, sold and marketed lubricants and lubricant additives for over 20 years.
Terresolve’s biobased fluids have been extensively proven in the lab and in the field and are renewable, support the agrarian community, and meet federal guidelines for environmentally preferable purchasing.",Other
Fiber Optic Connectivity,Considerations for Successful Optical Fiber Connectivity in Subsea Applications,"Bell, Steve","BIRNS, Inc.","Fiber optic connectors deliver massive bandwidth in a minute footprint, and thus are becoming increasingly popular for ROV and manned submersibles for everything from vehicle control and HD cameras to tracking and fiber based sensors. However, there are numerous complex engineering considerations for such systems, given the rigorous demands of subsea applications. Thus, it's key to make informed decisions about how fiber optics should be integrated into a design from its inception to achieve the maximum advantage of the technology.

This report explores the theory of fiber optics, both operation and concepts of use, strategies for design, pros and cons, especially as they affect the trade-offs between single mode and multimode fiber for specific applications.
Further, it examines to the future of the technology and how it can shape the deep ocean industry, from low back reflectance connectors to bend-insensitive, high numerical aperture fiber options, which will allow even greater versatility and performance in robust connector shell designs.",Accptd pnding mat'l,Contributed,MTS Member,Work Class Remotely Operated Vehicles,Presentation,,,"To share some new ways of identifying the requisite engineering for subsea systems with optical fiber connectors, and outline smart, effective choices
that will lead to project success--as well as looking to where the technology is headed and what trends can be leveraged in the industry.",,"Serves as Optical/Photonics Engineer for BIRNS, Inc., an ISO 9001:2008-certified global leader in the design and manufacture of unique lines of high performance lights, connectors, penetrators and custom cable assemblies.

Responsible for the design, development and execution of the company’s diverse fiber-optic connector systems, and has helped BIRNS expand and enhance its wide range of popular fiber optic and hybrid connector solutions, including the new BIRNS Millennium™ standard electro-optical hybrid series.

More than 20 years of industry experience; holds a Bachelor of Science degree in Optical Engineering.  Prior to joining the team at BIRNS, served as a Senior Photonics Engineer at Sabeus Federal Systems, LLC, where designed, built, and tested fiber-optic hydrophones for prototype towed acoustic arrays for the US Navy.

Successful career has also included a position at Optiphase as a Senior Engineer, responsible for the optical design of fiber-optic interferometer systems and as an engineer for CalTech on the LIGO (Laser Interferometer Gravitational Wave Observatory) project.",Vehicle components for Work Class ROVs
FREE Analox Hypergas MkII Training Taster,FREE Analox Hypergas MkII Training Taster,"Lunt, Simon",Analox Sensor Technology,"This session will be jointly presented by Simon Lunt, Analox & Larry Janicek, LBJ Maritime.  It is intended to highlight some of the salient points in relation to monitoring hydrocarbons in the diving bell which are covered in greater detail in the official Analox Hypergas MkII training course offered by both Analox and LBJ Maritime.  This taster session will help delegates to determine if the full course is suitable for them.

There will also be a short section in the presentation which will update delegates on Analox's project relating to the monitoring of H2S in the diving bell.",Plan to Accept,Contributed,not MTS Member,Commercial Diving,Presentation,Need sound in order to play embedded video in Powerpoint presentation.,,,,Simon Lunt is the Sales Manager at Analox Sensor Technology who have provided the commercial diving industry with gas analysers since 1981.  His history is in chemical and health and safety sales and has been heavily involved in the adoption of the Hypergas MkII by the industry as a vital piece of safety equipment.,"	Commercial Diving Equipment Improvements and Reviews"
Generating 3D Models from Underwater Video,Generating Photorealistic 3D Models from Underwater Inspection Video,"Cavan, Neil",2G Robotics Inc.,"Video inspection by a remotely operated vehicle (ROV) is simple, cost effective to deploy, and widely used. However, this inspection method suffers from the limitations of underwater visibility. Since it is only possible to observe a small section of an underwater asset at any one time, long videos are necessary to fully inspect large assets. The information provided by inspection videos is valuable, but it can be time-consuming to assess the state of an underwater asset based on many hours of video.

This presentation demonstrates a software tool developed by 2G Robotics for generating photorealistic 3D models from underwater video. Computer identified feature points in the video are automatically tracked, and are then reconstructed as a digital 3D point cloud of the asset observed in the video. Once the point cloud has been obtained, it can be surfaced and coloured using image data from the video to create a photorealistic 3D model of the entire asset. The algorithms can work with video from any camera, and need only the video itself as input: no special calibration object or motion sequence is used. Since no change to the inspection workflow is required, this technology can create a 3D model from archived inspection video.

Using a photorealistic 3D model as the starting point for underwater asset inspection allows the state of the entire asset to be understood more quickly and intuitively compared to using video alone.  This technology has the potential to alter the post inspection work-flow, saving time and providing greater asset understanding, resulting in reduced project costs and risks.",,Contributed,not MTS Member,Instruments and Sensors,Presentation,,,,,,Cameras for ROV or Diver Applications
Hard rock coring on steep terrain,Hard-Rock Coring at Steep Terrain Seafloor with a Flipper-Type Crawler ROV,"Inoue, Tomoya",JAMSTEC,"Coring at flat even seafloor have been conducted. However, there are of slight difficulty for a conventional ROV to conduct at steep or irregular terrain seafloor because the ROV needs a function or mechanism to keep its attitude tenaciously being subjected to a reaction force.

One of advantageous ROVs for its operation is a flipper type crawler ROV which JAMSTEC has developed. Flipper type crawler system which can rotate a crawler itself provides not only an advantage mobility but also an high performance to hold on.

The authors conducted the running experiment of the flipper type crawler ROVs on sand, cobble, or rock reef seafloor. The authors also conducted an initial hard-rock coring experiment at steep and irregular terrain seafloor off Okinawa.
This paper presents the advantageous mobility of the flipper type crawler ROV which has been confirmed at sea trial and the possibility of hard-rock coring at steep or irregular terrain seafloor with it.",Accptd pnding mat'l,Contributed,not MTS Member,Work Class Remotely Operated Vehicles,Presentation,,,,,"Dr. Tomoya Inoue graduated from the doctorial course of Osaka University.
From 1995 to 2001, he was working in Hitachi Zosen Corporation, as an Engineer and a Chief Engineer for offshore project.
Since 2002 he has been working in JAMSTEC (Japan Agency Marine-Earth Science and Technology) as a Senior Research Scientist. He was involved in the drill ship project as a chief engineer of drilling system and also in the development of the deep-sea ROV (remotely operated vehicle) as a project leader.
His research interests are in offshore deep drilling technology and underwater vehicle.",Projects and Field work for Work Class ROVs
HD 3D photogrammetric modeling applications,High definition 3D photogrammetric modeling offers unprecedented levels of geometric accuracy for post-incident analysis and repair of damage to subsea components,"Hall, Anthony",Welaptega Marine Limited,"The presentation will encompass a step through the basics of digital 3D photogrammetric modeling hardware and techniques, followed by a series of case studies that highlight the flexibility and value of the technology to provide highly accurate geometric information of damaged subsea components that can then be used to conduct structural analyses (e.g. FEAs). design tooling, and and verify design repairs. Case studies will include but not be limited to an impact-damaged well head, a deepwater pipeline damaged by anchor impacts, and heavily corroded mooring components. The presentation will finish with some discussion of the opportunities by this technology in combination with advances in metallic and polymer 3D printing technologies",Accptd pnding mat'l,Contributed,MTS Member,Instruments and Sensors,Presentation,It would be very advantageous to be able to present interactive/rotatble 3D models on screen. To do this it will be necessary to connect my own 'high-end' laptop to the projector. It is a standard serial connector or SDMI,,The principal objective of this presentation is to present the proven capabilities of a powerful emergent analytical and intervention engineering technology to an audience that are the problem-solvers in the subsea industry. It is also intended to stimulate thought on how technologies like 3D printing have the potential to change the way the subsea industry approaches subsea intervention engineering.,,"Anthony Hall is the founder and CEO of Welaptega Marine Limited. His experience with digital image analysis goes back to 1988 and his MSc field work in the measurement of marine growth, first in aquaculture and then offshore platforms. Since establishing Welapteag in 1992 he has kept Welaptegab at the leading edge of underwater 3D video and image measurement in support of subsea operations in the offshore industry.",Other Topics in Sensors and Instruments
High-level Organization of UUVs,High-level Organization of Unmanned Underwater Systems,"Sapaty, Peter","Inst. Mathematical Machines & Systems, National Academy of Sciences","The world ocean remains the last unexplored space on earth. Underwater robots, when massively deployed, can bring huge benefit. Their use, however, is much more complicated than aerial or ground ones, due to communication problems. That is why enhancing intelligence of individual robots for increasing autonomy and reducing communications is the primary goal. In this paper we are offering a high-level distributed control technology that can dynamically integrate any underwater units into operable teams with a sort of global consciousness and pursuing global goals. It is based on universal knowledge processing and control modules easily installed in units and communicating with each other via any available channels. Ad hoc networks of these modules spatially, in parallel, interpret global mission descriptions in a special high-level Distributed Scenario Language (DSL) reflecting top semantics of what to be done in a distributed maritime space, while leaving system structuring and task-oriented C2 entirely to automatic language interpretation.  Extremely  short, created on the fly, DSL scenarios are injected into the robotic swarm from any unit, subsequently covering the whole system and setting the needed behavior, with communications between vehicles much shorter than with any other approaches (thus suitable for low speed channels). Implementation details of the technology will be revealed, and exemplary scenarios in DSL related to underwater environments, like collective distributed search of a large territory for specific objects or patrolling coastline will be shown. Cooperation with surface and aerial vehicles, also with higher-level manned systems within the same organizational model, are discussed too.",Accptd pnding mat'l,Invited,not MTS Member,Engineering Topics Not Covered by Other Tracks,Extended,,,,Another bio at http://isarob.org/index.php?main_page=invited_speakers.,"Dr. Peter Sapaty (educated in power networks & missile control), Director of Distributed Simulation and Control, Ukrainian Academy of Sciences, is with networking for 45 years. Worked in Germany, UK, Canada and Japan as project leader, research and invited professor. Invented distributed control technology used in different countries and resulted in European Patent and two John Wiley books. Areas of interest: models and languages for coordination and simulation of distributed dynamic systems with application in cooperative robotics, emergency management and infrastructure protection. His bio is in Marquis Who's Who in the World and Cambridge Outstanding Intellectuals of the 21st Century.",Port Security use of small ROVs
Hydraulic Fluid Performance at Depth,The effect of Depth and Pressure on Hydraulic and Dielectric Fluids,"Miller, Mark",Terresolve Technologies,"Offshore drilling has been in existence a little over 100 years. Drilling and production depths have accelerated greatly over the past several years and depths over 3000 meters (10,000 feet) are not uncommon.
This move into deeper and deeper waters has presented many technical and environmental challenges for ROVs and related equipment.
One of these challenges is that at the depths and significantly increased pressures that ROVs can see, the physical characteristics of hydraulic and dielectric fluids change. This paper explores the various factors that effect fluid characteristics including; pressure, temperature, viscosity, and type of fluid. It compares and contracts petroleum oils, environmentally safe oils and synthetics. It also includes a comparison of these fluids at atmospheric conditions to isolate any changes solely due to fluid type.",Accptd pnding mat'l,Contributed,MTS Member,Work Class Remotely Operated Vehicles,Presentation,None,None,Participants will learn the differences between and among type of fluids and will be able to make informed decisions while designing equipment and selecting fluids.,,"Mark Miller is the CEO of Terresolve Technologies, a Cleveland-based company that provides non-toxic, biodegradable lubricating products. Mr. Miller has a B.S. in Chemical Engineering from Tufts University and an M.B.A. from Manhattan College. He has engineered, sold and marketed lubricants and lubricant additives for over 30 years.
Terresolve's biobased fluids have been extensively proven in the lab and in the field and are renewable, support the agrarian community, and meet federal guidelines for environmentally preferable purchasing.",Vehicle components for Work Class ROVs
Hydraulic Intensifiers,Hydraulic Intensifers are a Boost for ROV Tooling Requirements,"Niblock, Bill","ASP, Inc.","The presentation will focus on recent and anticipated trends for high pressure hydraulics in subsea applications, predominately in the oil production industry and how compact hydraulic intensifiers can be a cost effective and reliable solution.

Deeper Drilling-Higher Pressures.  Exploration in deeper water combined with higher safety margins are driving the need for higher hydraulic pressures.  We will review how some subsea procedures, such as seal testing, are requiring higher pressures, and how hydraulic intensifiers are responding to the need.

Reliability and Flexibility.  Being able to perform at depth and at a range of flows and pressures, is challenged when additional hydraulic fluids and process solutions are used.  Discussion will consider how recent design considerations with hydraulic intensifiers improve both reliability and flexibility.

Beyond ROV.  Some of the intervention applications that are served by ROVs, also need upgrading, such as BOP accumulator charging.  Discussion will cover how compact hydraulic intensifiers can be a cost effective solution.",Accptd pnding mat'l,Invited,not MTS Member,Work Class Remotely Operated Vehicles,Presentation,"Internet access would be a plus.  Otherwise, projector that can suppport a laptop-based presentation.",Nothing special.,To introduce hydraulic intensifiers as a solution to the need for high pressure hydraulics on ROV-based subsea applications.,,"Bill Niblock is the Engineering Manager at ASP, Inc.  Bill supports customers throughout North America in several industries that are using hydraulic intensifiers to meet high pressure hydraulic needs.

Thyge Bollmann is a Vice President at miniBOOSTER Hydraulics A/S in Denmark and works with customers worldwide in support of miniBOOSTER Hydraulic Intensifiers.",ROV Tooling for Work Class ROVs
IMPT,Evaluation of Quality indicators for observation class ROVs,"Lyakhov, Dmitry",Inst.of Marine Technol. Problems,"There are a lot new ROVs have entered the market lately. The new trends are low logistics, highly maneuverable systems in addition rated up to 300m. The manufacturers always offer information about forward/backward/vertical/lateral speed of their ROV in ideal near surface conditions more rarely about thruster performance, but the real question of the operator is often about  the possibility of  survey the particular  bottom area in particular(preferably near maximum vehicle rating) depth in particular time under various but real sea conditions. Regardless of ROV mission type the operational challenges caused by the tether drag arise at 300m depths. One of the key features of observation ROVs is accessible bottom or structure survey area from fixed topside. The next is the ROV speed at underwater site which form the survey coverage rate.  Both are defined by ROV propulsion and tether management. This paper presents several models of observation class ROV based on analysis of specifications of commercially available ROV systems. We also discuss several environmental aspects of ROV deployment:  current profile, survey pattern. The tether computer model based on the numerical integration of equilibrium equation of the flexible nonstretchable line used to obtain the parameters of ROV motion according to selected typical ROV systems and environmental conditions. Survey speed and area quality indicators are estimated for several observation ROV models including those developed in the IMPT",Pending Review,,not MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,Standard audio visual set,No requests,"R&D of  man portable UUVs field,
Effective use  of UUV
man–machine interface optimization",,"Participated in GNOM microROV project 2004-2006 (Shirshov Institute of Oceanology)
Development of ROV systems for Russian market based on international manufacturers products Seaeye/Seabotix/Sperre 2006-2009 (Tetis-Pro)
R&D of AUV/ROV/Subsystems 2009 – present (IMPT FEBRAS)",Inshore use of small ROVs
Inertial NAV system for small ROV,Using an inertial navigation system for small and micro ROV,"Banfi, Maurizio",Studio Ing. Banfi SAS,"In many applications, acoustic navigation systems (such as the commonly used USBL) cannot provide accurate positioning information. Because of multiple sound reflections, for instance, acoustic systems have poor performances in shallow water or highly cluttered areas, such as in a port environment, close to piers and various underwater structures. The users of large and very complex ROV's solve the above problem by outfitting their vehicles with Inertial Navigation Systems (INS) and Doppler Velocity Logs (DVL) that extend the use of their equipment much beyond the capabilities of acoustic systems. Unfortunately, though, this kind of equipment is not available to the users of small ROV, because of size, power demand and price reasons.

The ROV & Diver TRACKER  is a complete navigation system that includes a Fiber Optic Gyro (FOG), a DVL and multiple support sensor, suitable for installation into small and micro ROV's. This paper describes the system and the results obtained onboard a VideoRay micro ROV, where the TRACKER was integrated with both the vehicle and a BlueView SONAR.",Accptd pnding mat'l,,not MTS Member,Instruments and Sensors,Presentation,None,None,,,"Graduated at the Italian Naval Accademy, after a master degree in electronic engineering and a 16 years long career as Italian Navy Officer, Maurizio Banfi funded Studio Ing. Banfi SAS, that developed the ""ROV & Diver TRACKER"", now commercially available.",All types of positioning systems
Inside the Lusitania,Inside the Wreck of the Lusitania,"Luzzi, Brian",VideoRay LLC,"Documenting the 2011 National Geographic project where VideoRay, the leading manufacturer of Inspection Class Remotely Operated Vehicles, was invited to explore both interior and exterior sections of the famous World War I shipwreck off the coast of Ireland.",Submitted for Review,,MTS Member,"Exploration, Research, and Presentations on Shipwrecks",Presentation,,,,,,Interesting Projects
Integrating Equipment to Work Class ROVs,Considerations When Integrating Equipment or Tooling to a Work Class ROV,"Barrow, Steve",Schilling Robotics LLC,"Remotely Operated Vehicles (ROVs) serve as the primary platform for a variety of operations in deep water.  ROVs must often be reconfigured with different tools or sensors to accomplish these missions.  However, integrating new sensors, equipment or tooling to a work-class ROV can be a difficult and time consuming experience.
The lack of standardization between different models of ROVs also makes preplanning the equipment integration difficult.  Taking the time to understand and address the basic considerations and the options available will help to prevent last minute emergencies.
This presentation will provide an overview of the primary concerns when integrating new equipment.  Considerations include the size and weight of the equipment, ROV-specific mechanical attachment points, hydraulic connections, and electrical power and communication requirements.",Accptd pnding mat'l,Invited,MTS Member,Work Class Remotely Operated Vehicles,Presentation,Standard equipment.,"I am track leader for Work Class ROVs and Ocean Engineering, so not having the first slot in the morning will allow me time to make sure things are moving smoothly.","Personal: Inner harmony, world-wide fame and fabulous wealth.
Presentation: To provide an overview of the important factors that must be considered when wanting to integrate equipment to an ROV.",,"Steve Barrow, senior applications engineer for Schilling Robotics, has designed ROVs and ROV tooling since 1998.",ROV Tooling for Work Class ROVs
LEGAL UPDATE 2012,Legal Update 2012 For the Commerical Dive Industry,"lesser, rick",Lesser & Associates Prof Law corp.,"The US Supreme Court ruling in Atlantic Sounding v Townsend and the cases that have followed over the last two years have turned previously allowed employee damage remedies upside down. Punitive damages have been allowed not only in unseaworthiness claims, but in loss of consortium claims as well. In virtually all aspects of commercial diving and vessel operations , there has been a steady expansion of employee rights that every marine contractor and vessel operator need to understand and plan for.
Bringing you over three decades of diving risk management and analysis,  six time Superlawyer Rick Lesser will provide a summary of the most current aspects of diving and maritime law that will be invaluable in making  your own analysis of the risks and potential legal problems facing you., and more importantly, how to deal with them.
Whether you are a commercial diver, vessel operator or diving contractor, the inmformation in this seminar is vital to help you protect your business and your livelihood.",Plan to Accept,Contributed,not MTS Member,Commercial Diving,Presentation,,,Provide updated legal information and analysis to the commerical dive community,,"36 year attorney specializing in commercial and recreational diving, 30 plus year attorney for Kirby Morgan DSI, selected as Superlawyer multiple times by fellow attornies in california, winner of one of National Law Journal ""Top Defense Wins in 2004; Defended succesfully and also obtained multiple 7 figure verdicts and settlements over the past 30 years. Full bio is at DIVELAW.COM",Other topics in Commercial Diving
LI-ION BATTERY SYSTEM FOR MUVS,"OPERATION, MAINTENANCE, & SAFETY OF A MODULAR LI-ION BATTERY SYSTEM FOR MANNED UNDER WATER VEHICLES","White, David",Southwest Electronic Energy Group,"ABSTRACT:  Large, modularly constructed Li-Ion and Li-Polymer battery systems are now being constructed for manned under water vehicles.  A significant advantage of modular construction of large battery systems is the maintainability of the battery system and the economic edge gained by repairing a large battery system using a single, relatively inexpensive, replacement battery module.  Battery system modularity also provides an easy path to improved reliability and safety via redundancy.
	The presentation will describe the architecture of a 240 Volt, 58 KWh battery system constructed using 64 identical, autonomous battery modules that provide as much as 8X redundancy.  A list of continuously available normal and fault status for a module is described.  A consol display of this operational status for all 64 modules and of the overall system is provided.
	Both standard and state-of-the-art advances for operation, maintenance, and safety of the battery system will be described.  Significant among the state-of-the-art advances are:

1)  A fast, safe, & automatic, module balancing method for supporting module replacement that is typically 100X faster than conventional methods;
2)  Two means for determining module State Of Health;
3)  An innovative means for timely detection of internal shorts within any cell in the battery system; and
4)  Ability to extend battery life and improve safety by automatically adjusting the charge level of all the modules within the battery system.

	The presentation will also describe a means of packaging the 64 modules that allow for pressure equalization of the modules, for mounting the battery external to the manned compartment, and that subdivide the battery system into sections that can be jettisoned.

PRESENTATION BRIEF DESCRIPTION:  This presentation provides an overview of a modularly constructed 240 Volt 58 KWh Li-Polymer battery system for a manned deep submergence vehicle.  Architecture, operation, maintenance, and safety features of the battery system are provided.  An innovative method for rapid module replacement with immediate system availability is described.  Two new means for detection of battery module State Of Health is described and an automatic means for detection of cell internal shorts is described.  A means to extend battery life and safety using module charge control is described.  Packaging of the pressure equalized battery modules and battery system is described.",Accptd pnding mat'l,Contributed,MTS Member,Manned Underwater Vehicles,Presentation,The presentation format is Microsoft Power Point slides input from a Macintosh portable PC via a Monitor port.,NONE.,"Familiarize audience with the new and unique feature set for operation, maintenance and safety of a modular Li-Ion battery system.  Disclose new, fast methods for module replacement and balancing.  Disclose new methods for detection of internal cell shorts.",,"David White graduated from Texas A& M University in 1970 with a BS in Electrical Engineering.

David’s practical design experience is in large, high capacity, high reliability computer and system designs used in battery operated, man portable applications that must work in any environment above, on, or under the earth.

David is named with other colleagues at SWE on over 9 patents or patent applications covering inventions for Continuous Cell Balancing Methods, Module Balancing Methods, and BMS algorithms for extending Li-Ion battery life, reliability, and safety.

David is a member of the MTS, an emeritus member of the Society of Exploration Geophysics and a Life Senior member of the IEEE, and has been recognized during his employment at Texas Instruments, as a Texas Instrument’s Senior member of Technical staff.",New Advanced Technologies for Manned Subs
Mapping,Integration of Inertial and Multibeam on ROVs,"Florence, Ian",Kongsberg Maritime Ltd.,"The concept of ROV subsea inertial navigation and ROV mounted Multibeam has been around for a number of years. In a recent offshore project the two systems were tightly integrated so the inertial system provided Heading, pitch, roll and position directly to the Multibeam. The paper discusses the integration processes – good parts and bad. In the results errors in the system are shown and how they were resolved. Also demonstrates the 2 way LBL and inertial for ROV navigation. The paper gives real project result from the Gulf of Mexico with some spectacular images.
Ian Florence
Subsea Construction Manager",,Contributed,MTS Member,Instruments and Sensors,Presentation,,,"To introduce the new EM2040 multibeam and the intgration of navigation, high accuract atitude sensors for sebed and downed platform mapping",,"Ian Florence has worked in the offshore industry since 1981, starting in the seismic industry he moved to OHP Oilfield hydrographic Projects) in 1984 where he was a survey engineer and online surveyor. From 1986 – 1996 he was a contract engineer, surveyor and party chief for all on the major – and a lot of minor survey contactors. He then became a project surveyor for Subsea 7 for a West of Shetland field for 2 years. He joined Kongsberg Maritime where he specializes in acoustic special projects.",All types of Sonars for Searching or Identifying
Marine debris and underwater tech,"Integrating a micro-ROV, imaging sonar, image enhancement, side scan sonar and tether-based positioning systems to find and remove marine debris along the New England Coast.","Miller, Rachael",Rozalia Project for a Clean Ocean,"The mission of Rozalia Project for a Clean Ocean is to find and remove marine debris from our oceans, bays and rivers. Marine debris takes many forms, and occurs in all marine environments, presenting myriad challenges in removing it from the water. Rachael Miller of Rozalia Project uses a VideoRay with BlueView sonar, Lyyn image enhancement, and Smart Tether positioning system along with the Tritech Starfish side scan sonar, to scour the bottom of a variety of venues looking for and retrieving marine debris - from small pieces of plastic to large masses of derelict fishing gear - and everything in-between. This presentation will show specific examples of how the equipment is integrated and used in concert to locate and recover a variety of objects of differing size and material, and how different benthic environments and conditions affect mission planning and execution. The presentation will conclude with a discussion of lessons learned and the strategies Rachael used to handle specific challenges related to debris search and recovery.",Accptd pnding mat'l,Invited,not MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,None,None,Attendees will learn about more than just the capabilities and limitations of a selection of underwater technology but real-world examples about how they integrate to accomplish our mission of finding and removing marine debris. The objects we pick up are as varied as the locations in which we operate and this presentation will include specific examples of challenges and solutions in underwater search and object recovery.,,"Rachael Miller is the co-founder and Director of Rozalia Project for a Clean Ocean, whose mission is to find and remove marine debris through action, technology, outreach and research. She is also the co-captain of Rozalia Project’s trash-hunting mothership, American Promise (a Ted Hood 60’ sailing research vessel). Rachael established the first public access, ROV-supported shipwreck tour in North American, and is a trainer for VideoRay training remotely operated vehicle (ROV) pilots. She is the primary ROV pilot and technician for the Rozalia Project and travels throughout the US with the ROV/sonar delivering marine debris programs and cleaning harbors. Though dedicated to a clean ocean, she lives, with her husband and 2 Newfoundlands in the mountains of Vermont.",Inshore use of small ROVs
MATE ROV Competition,Think of Yourselves as Entrepreneurs - How the MATE ROV Competition is challenging students to develop 21st century workplace skills,"Zande, Jill",Marine Advanced Technology Education (MATE) Center,"For 10 years, the Marine Advanced Technology Education (MATE) Center’s international ROV competition program has challenged students to think creatively, work as part of a team, and apply technical skills in new and innovative ways.

However, in 2011 the Center took a new approach to encouraging students to develop 21st century workplace skills.  Instead of teams, MATE asked students to think of themselves as entrepreneurs and to form “companies” instead of “teams.”  We challenged them to develop an understanding of the breadth of business operations and to structure their company with the appropriate personnel – from CEOs to CFOs, Software Engineers to Marketing Directors,  Operations Managers to PR Specialists.  Not only were they expected to design, build, and perform, their “product,” they also had to sell it to their client – in this case, the MATE Center and the industry professionals who volunteer as competition judges.

The response was positive – and powerful!  Students and mentors took the challenge very seriously.  They came up with creative names for their companies and, in some cases, developed a company logo.  They identified the positions necessary for a business to run successfully and assigned students to those roles.  They created business cards and marketing materials that described their company and product line.  (One company developed an “app” that is available for download on the iTunes store.)  They wore suits and ties during their engineering presentations.  They gave cost and delivery estimates for their product and, if they had competed before, their record of past performance.

Based on this success, the MATE competition will continue its entrepreneurial approach and add to it in 2012.  For example, in order to reach out to and further engage students with an interest in technology but an aptitude in the arts, MATE will ask companies to develop PR “kits” and put them into practice by targeting their local media.",Accptd pnding mat'l,Invited,MTS Member,Education and Academic Presentations,Presentation,,,"Jill Zande is the Associate Director and ROV Competition Coordinator for the Marine Advanced Technology Education (MATE) Center and the current VP of Education and Research for MTS.  At the MATE Center, Jill’s role is to work closely with industry to ensure that educational programs are aligned with workforce needs and to facilitate partnerships among educators, students, employers, and working professionals.  Jill maintains relationships with well over 100 businesses, research institutions, government agencies, and professional societies and with the 400+ middle schools, high schools, colleges, and universities that participate in MATE ROV competitions each year.

Jill received her undergraduate degree in biology/minor in marine science from Penn State University and her Master’s degree in Oceanography and Coastal Sciences from Louisiana State University.  Jill has been with MATE since 1998 and through her position has actively promoted the inclusion of ocean science and technology in formal and informal educational arenas.",,,Robotics and Engineering Competitions
Micro ROV Support To Offshore O&G,Micro ROV Support to the Offshore Oil & Gas Industry - Case Studies,"Van Meter, Steven",Van Meter Consulting,"The use of VideoRays in the Offshore Oil & Gas Industry is growing rapidly, as recent results of inspections of facilities and vessels around the world show that this is compelling technology. Inspections can often be done more rapidly, efficiently, safely, and at lower cost than other traditional methods. In many cases there are critical areas and mechanisms that cannot be inspected safely by ANY other method. The extreme portability, small size, low power consumption of modern micro ROVs combined with their depth, current handling, and tether pulling capabilities combine to provide completely new tactics, techniques, and procedures.

This presentation covers case studies where Van Meter Consulting has used Micro ROVs to support offshore oil and gas projects. From Russia's Siberian LNG, to an FPSO in the South China Sea, to the Gulf of Mexico, photos and video clips will demonstrate how this maturing technology is being used in the offshore environment. Van Meter will explain how he won the jobs, planned for the mission, adjusted and compensated when things were not working, and successfully completed the mission each time.",,Contributed,not MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,,,Provide case studies on how projects for the Mico ROV have developed and been completed. How challenges have been met and overcome to provide a valuable service to the Offshore Oil & Gas industry.,,"A pioneer and world leading expert on micro ROV operations, Steve retired in 2005 from the US government after 30 years of service. His last posting was as the Hazardous Duty Robotics Specialist for NASA’s Space Shuttle program at the Kennedy Space Center, Florida.

He purchased the first VideoRay system sold in 2000 and has been using VideoRay systems since to service clients worldwide in a full range of applications.

He pioneered the use of the micro ROV to support the Offshore Oil & Gas industry and has performed specialized support services in diverse locations from Siberian Russia, Gulf of Mexico, Black Sea, South China Sea, the Caribbean, South America and the Middle East.

With over 10 years of field experience and more than 500 successful projects, Steve is the Go-To Guy when the job calls for a Micro ROV. His services include training, consultation and operational support.

Van Meter Consulting is based in Cocoa, Florida.",Offshore use of small ROVs
